sentence,short_first
i knew we had a different one .,i knew we had a different one .
there you go let's make the switch .,there you go let 's make the switch .
there's your home one .,there 's your home one .
and you don't need it ?,and you do n't need it ?
you're feeling better ?,you 're feeling better ?
come on buddy .,come on buddy .
how does it look ?,how does it look ?
it looks fine .,it looks fine .
please go .,please go .
oh .,oh .
now you're gonna be awake huh ?,now you 're gon huh na be awake ?
now you're gonna be awake it's time .,it time 's now you 're gon na be awake .
what did you do ?,what did you do ?
that's good though .,that 's good though .
if you're awake you can have story with us .,you can story have with us if you 're awake .
you can have story with us !,you can have story with us !
yeah !,yeah !
catherine have you picked a story yet ?,catherine have you picked yet a story ?
no .,no .
okay let's come pick one out .,okay let 's come pick one out .
mmb .,mmb .
ah !,ah !
come on sweetie boo .,come on sweetie boo .
let's see .,let 's see .
maybe catherine will read to you !,maybe catherine will read to you !
what do you think ?,what do you think ?
should we read to you ?,should we read to you ?
abu !,abu !
abu .,abu .
i wonder if daddy's been reading nicholas .,i wonder if daddy 's been reading nicholas .
have you guys been reading nicholas ?,have been nicholas reading you guys ?
abu .,abu .
abu ?,abu ?
i want to i wanna have this one .,i wanna this one have i want to .
that's for tomorrow .,that 's for tomorrow .
that's your shirt for tomorrow .,that 's your shirt for tomorrow .
what are these for ?,are these what for ?
those were for when we thought it was gonna be a warm day but then it wasn't .,those were for we thought but when then it was n't it was gon na be a warm day .
it got cold so i had to switch your clothes .,it got cold so i had to switch your clothes .
should we read ?,should we read ?
raggg ?,raggg ?
do you do you wanna listen to your story ?,you wanna do you do listen to your story ?
rakkk .,rakkk .
what's the other book ?,what 's the other book ?
we're reading some fairy tales .,we 're reading some fairy tales .
why ?,why ?
who are you reading them to ?,are you reading them who to ?
okay the nursery stories .,okay the nursery stories .
agu .,agu .
hello child .,hello child .
how are you today ?,how are you today ?
i love you .,i love you .
i love you .,i love you .
uh .,uh .
does that taste good .,does that taste good .
high .,high .
high .,high .
yes .,yes .
whose that ?,whose that ?
that's big bird .,that 's big bird .
that's big bird .,that 's big bird .
yes .,yes .
does he not taste good .,does he not taste good .
does big bird taste funny ?,does funny taste big bird ?
i love you .,i love you .
i love you .,i love you .
yes i do .,yes i do .
yes i do .,yes i do .
i love you .,i love you .
big bird .,big bird .
big bird .,big bird .
what do you think of big bird ?,what do you think of big bird ?
big bird .,big bird .
big bird .,big bird .
what do you think of big bird ?,what do you think of big bird ?
what do you think ?,what do you think ?
aha .,aha .
you old silly boy .,you old silly boy .
you old silly boy .,you old silly boy .
aha .,aha .
what is that ?,what is that ?
that's his leg .,that 's his leg .
that's his leg .,that 's his leg .
yep .,yep .
that's his leg .,that 's his leg .
let's look at all this stuff in here ?,let 's look at all this stuff in here ?
let's look .,let 's look .
you want to hold that .,you want to hold that .
do you want to hold that ?,do you want to hold that ?
oh .,oh .
you have one of these silly boy .,you have one of these silly boy .
you have one of these .,you have one of these .
yes sir .,yes sir .
yes sir .,yes sir .
aha .,aha .
what do you think of that ?,what do you think of that ?
you like this bird don't you .,n't do you you like this bird .
you like the bird .,you like the bird .
you like the bird .,you like the bird .
yes sir .,yes sir .
child .,child .
peek a boo .,peek a boo .
peek a boo .,peek a boo .
peek a boo .,peek a boo .
peek a boo .,peek a boo .
wowie .,wowie .
look at this .,look at this .
look see .,look see .
look see .,look see .
look see .,look see .
can you touch it ?,can you touch it ?
oh look at that .,oh look at that .
that's a bunny .,that 's a bunny .
that's a bunny .,that 's a bunny .
look at that .,look at that .
who's that baby in the mirror ?,who 's that baby in the mirror ?
who's that baby in the mirror ?,who 's that baby in the mirror ?
who is that ?,who is that ?
who is that ?,who is that ?
oh .,oh .
aha .,aha .
look at that .,look at that .
what's that ?,what 's that ?
is that a kitty cat .,is that a kitty cat .
is that a kitty cat .,is that a kitty cat .
is that a kitty cat .,is that a kitty cat .
what's that ?,what 's that ?
baby .,baby .
baby .,baby .
baby .,baby .
that's a baby .,that 's a baby .
you want to hold it .,you want to hold it .
kitty cat .,kitty cat .
meow .,meow .
kitty cat says meow .,meow says kitty cat .
kitty cat says meow .,meow says kitty cat .
that's right .,that 's right .
a baby .,a baby .
that's a baby .,that 's a baby .
what's that ?,what 's that ?
you want to keep looking at that .,you want to keep looking at that .
kitty cat .,kitty cat .
kitty cat says meow .,meow says kitty cat .
meow .,meow .
that's right .,that 's right .
wow .,wow .
you got to hold that sweetie .,you got to hold that sweetie .
that's pretty neat .,that 's pretty neat .
that's pretty neat .,that 's pretty neat .
isn't it .,is n't it .
you got it .,you got it .
aha oh bless you .,aha oh bless you .
want to hold it .,want to hold it .
want to hold it from this way .,want to hold it from this way .
look here sweetie .,look here sweetie .
there you go .,there you go .
there you go .,there you go .
what do you think of that ?,what do you think of that ?
what do you think of that ?,what do you think of that ?
hm .,hm .
what do you think of that sweetie ?,what do you think sweetie of that ?
that's pretty neat isn't it .,n't is it that 's pretty neat .
that's pretty neat .,that 's pretty neat .
that doesn't entertain you does it .,it does that does n't entertain you .
that's a .,that 's a .
piggie .,piggie .
piggie says oink oink .,piggie says oink oink .
oink oink oink .,oink oink oink .
yay .,yay .
it's a piggie .,it 's a piggie .
yay .,yay .
what do you think of that pumpkin ?,what do you think of that pumpkin ?
what do you think of that ?,what do you think of that ?
huh .,huh .
what do you think of that sweetie pie ?,what do you think of that sweetie pie ?
big bird .,big bird .
want to do this .,want to do this .
want to do this .,want to do this .
peek a boo .,peek a boo .
peek a boo .,peek a boo .
you like that big bird .,you like that big bird .
you like the big bird .,you like the big bird .
don't you .,do n't you .
aha .,aha .
wow .,wow .
look at that sweetie .,look sweetie at that .
it's a little bird .,it 's a little bird .
it's a bird .,it 's a bird .
look .,look .
want to hold it .,want to hold it .
it's heavy .,it 's heavy .
it's a bird .,it 's a bird .
it's a bird .,it 's a bird .
it's a little bird .,it 's a little bird .
goodness .,goodness .
goodness .,goodness .
what do you think of that ?,what do you think of that ?
that's pretty neat .,that 's pretty neat .
you have one of these .,you have one of these .
you've seen that before .,you 've seen that before .
yay .,yay .
you've seen that before .,you 've seen that before .
aha .,aha .
mm .,mm .
that's right .,that 's right .
that's right .,that 's right .
there you go .,there you go .
there you go .,there you go .
aha .,aha .
oh .,oh .
oh you put that in your mouth .,oh you put that in your mouth .
i don't know sweetie .,i do n't know sweetie .
tons of other babies might have done that too .,might have that done too tons of other babies .
yay .,yay .
want this one .,want this one .
okay .,okay .
okay .,okay .
i know .,i know .
i know .,i know .
i know .,i know .
say but i like that mother .,say but i like that mother .
you see the book .,you see the book .
look see .,look see .
look see .,look see .
boo .,boo .
child .,child .
boo .,boo .
child peek a boo .,child peek a boo .
baby .,baby .
child .,child .
child .,child .
boo .,boo .
boo .,boo .
child you old silly boy .,child you old silly boy .
is that your mother .,is that your mother .
is that your mother .,is that your mother .
what are you doing sweet pea ?,what are you doing sweet pea ?
who's that baby in the mirror ?,who 's that baby in the mirror ?
who is that ?,who is that ?
bunny .,bunny .
it's a bunny .,it 's a bunny .
kitty cat .,kitty cat .
meow .,meow .
meow .,meow .
that kitty cat says meow .,meow says that kitty cat .
meow .,meow .
meow .,meow .
aha .,aha .
child .,child .
sweet boy .,sweet boy .
yay .,yay .
you're such a sweet boy .,you 're such a sweet boy .
a baby .,a baby .
a baby .,a baby .
is that good .,is that good .
is that good sweetie .,is that good sweetie .
yay .,yay .
yay .,yay .
yay .,yay .
what are you doing silly boy ?,what are you doing silly boy ?
what are you doing ?,what are you doing ?
and that's big bird .,and that 's big bird .
that's big bird .,that 's big bird .
and that's big bird .,and that 's big bird .
it's a big bird .,it 's a big bird .
it's big bird .,it 's big bird .
yay it's a big bird .,yay it 's a big bird .
say i want to eat that big bird .,say i want to eat that big bird .
i want to eat the big bird .,i want to eat the big bird .
oh let's get this back out .,oh let 's get this back out .
oh you like that don't you sweetie .,n't do you sweetie oh you like that .
yes look at those little legs .,yes look at those little legs .
want to hold it .,want to hold it .
there you go .,there you go .
i want to taste all the stuff .,i want to taste all the stuff .
i want to taste all the stuff .,i want to taste all the stuff .
look sweetie .,look sweetie .
look .,look .
wow .,wow .
want it .,want it .
want it .,want it .
there you go .,there you go .
there you go .,there you go .
there you go .,there you go .
doggie .,doggie .
doggie .,doggie .
sheep .,sheep .
that's pretty neat isn't it sweetie .,n't is it sweetie that 's pretty neat .
what is that thing ?,what is that thing ?
say what is that thing .,say what is that thing .
hey child .,hey child .
hey child .,hey child .
yay .,yay .
hey child .,hey child .
aha hey child .,aha hey child .
look here .,look here .
aha .,aha .
peek a boo .,peek a boo .
aha .,aha .
